sobrevivio,clase,genero,edad,hermanos_conyuges,padres_hijos
0,3,hombre,22,1,0
1,1,mujer,38,1,0
1,3,mujer,26,0,0
1,1,mujer,35,1,0
0,3,hombre,35,0,0
0,1,hombre,54,0,0
0,3,hombre,2,3,1
1,3,mujer,27,0,2
1,2,mujer,14,1,0
1,3,mujer,4,1,1
1,1,mujer,58,0,0
0,3,hombre,20,0,0
0,3,hombre,39,1,5
0,3,mujer,14,0,0
1,2,mujer,55,0,0
0,3,hombre,2,4,1
0,3,mujer,31,1,0
0,2,hombre,35,0,0
1,2,hombre,34,0,0
1,3,mujer,15,0,0
1,1,hombre,28,0,0
0,3,mujer,8,3,1
1,3,mujer,38,1,5
0,1,hombre,19,3,2
0,1,hombre,40,0,0
0,2,hombre,66,0,0
0,1,hombre,28,1,0
0,1,hombre,42,1,0
0,3,hombre,21,0,0
0,3,mujer,18,2,0
1,3,mujer,14,1,0
0,3,mujer,40,1,0
0,2,mujer,27,1,0
1,2,mujer,3,1,2
1,3,mujer,19,0,0
0,3,mujer,18,1,0
0,3,hombre,7,4,1
0,3,hombre,21,0,0
1,1,mujer,49,1,0
1,2,mujer,29,1,0
0,1,hombre,65,0,1
1,2,mujer,21,0,0
0,3,hombre,28,0,0
1,2,mujer,5,1,2
0,3,hombre,11,5,2
0,3,hombre,22,0,0
1,1,mujer,38,0,0
0,1,hombre,45,1,0
0,3,hombre,4,3,2
1,2,mujer,29,0,0
0,3,hombre,19,0,0
1,3,mujer,17,4,2
0,3,hombre,26,2,0
0,2,hombre,32,0,0
0,3,mujer,16,5,2
0,2,hombre,21,0,0
0,3,hombre,26,1,0
1,3,hombre,32,0,0
0,3,hombre,25,0,0
1,2,hombre,1,0,2
1,3,mujer,30,0,0
0,3,hombre,22,0,0
1,3,hombre,29,0,0
0,1,hombre,28,0,0
1,2,mujer,17,0,0
1,3,mujer,33,3,0
0,3,hombre,16,1,3
1,1,mujer,23,3,2
0,3,hombre,24,0,0
0,3,hombre,29,0,0
0,3,hombre,20,0,0
0,1,hombre,46,1,0
0,3,hombre,26,1,2
0,3,hombre,59,0,0
0,1,hombre,71,0,0
1,1,hombre,23,0,1
1,2,mujer,34,0,1
0,2,hombre,34,1,0
0,3,mujer,28,0,0
0,1,hombre,21,0,1
0,3,hombre,33,0,0
0,3,hombre,37,2,0
0,3,hombre,28,0,0
1,3,mujer,21,0,0
0,3,hombre,38,0,0
0,1,hombre,47,0,0
0,3,mujer,14,1,0
0,3,hombre,22,0,0
0,3,mujer,20,1,0
0,3,mujer,17,0,0
0,3,hombre,21,0,0
0,3,hombre,70,0,0
0,2,hombre,29,1,0
0,1,hombre,24,0,1
0,3,mujer,2,4,2
0,2,hombre,21,2,0
0,2,hombre,32,1,0
1,2,mujer,32,0,0
0,1,hombre,54,0,1
1,3,hombre,12,1,0
1,3,hombre,24,0,0
0,3,hombre,45,0,0
0,3,hombre,33,0,0
0,3,hombre,20,0,0
0,3,mujer,47,1,0
1,2,mujer,29,1,0
0,2,hombre,25,0,0
0,2,hombre,23,0,0
1,1,mujer,19,0,2
0,1,hombre,37,1,0
0,3,hombre,16,0,0
0,1,hombre,24,0,0
1,3,mujer,22,0,0
1,3,mujer,24,1,0
0,3,hombre,19,0,0
0,2,hombre,18,0,0
0,2,hombre,19,1,1
1,3,hombre,27,0,0
0,3,mujer,9,2,2
0,2,hombre,36,0,2
0,2,hombre,42,0,0
0,2,hombre,51,0,0
1,1,mujer,22,1,0
0,3,hombre,56,0,0
0,3,hombre,40,0,2
0,1,hombre,51,0,1
1,3,mujer,16,0,0
0,3,hombre,30,0,0
0,3,hombre,44,0,1
1,2,mujer,40,0,0
0,3,hombre,26,0,0
0,3,hombre,17,0,0
0,3,hombre,1,4,1
1,3,hombre,9,0,2
0,3,mujer,45,1,4
0,3,hombre,28,0,0
0,1,hombre,61,0,0
0,3,hombre,4,4,1
1,3,mujer,1,1,1
0,3,hombre,21,0,0
0,1,hombre,56,0,0
0,3,hombre,18,1,1
0,1,mujer,50,0,0
0,2,hombre,30,0,0
0,3,hombre,36,0,0
0,3,hombre,9,4,2
1,2,hombre,1,2,1
1,3,mujer,4,0,2
1,1,hombre,45,0,0
0,3,hombre,40,1,1
0,3,hombre,36,0,0
1,2,mujer,32,0,0
0,2,hombre,19,0,0
1,3,mujer,19,1,0
1,2,hombre,3,1,1
1,1,mujer,44,0,0
1,1,mujer,58,0,0
0,3,hombre,42,0,1
0,2,mujer,24,0,0
0,3,hombre,28,0,0
0,3,hombre,34,0,0
0,3,hombre,46,0,0
1,3,hombre,18,0,0
0,3,mujer,2,0,1
0,3,hombre,32,1,0
1,3,hombre,26,0,0
1,3,mujer,16,0,0
1,1,hombre,40,0,0
0,3,hombre,24,0,0
1,2,mujer,35,0,0
0,3,hombre,22,0,0
0,2,hombre,30,0,0
1,1,mujer,31,1,0
1,3,mujer,27,0,0
0,2,hombre,42,1,0
1,1,mujer,32,0,0
0,2,hombre,30,0,0
1,3,hombre,16,0,0
0,2,hombre,27,0,0
0,3,hombre,51,0,0
1,1,hombre,38,1,0
0,3,hombre,22,0,0
1,2,hombre,19,0,0
0,3,hombre,20,0,0
0,2,hombre,18,0,0
1,1,mujer,35,1,0
0,3,hombre,29,0,0
0,2,hombre,59,0,0
1,3,mujer,5,4,2
0,2,hombre,24,0,0
0,2,hombre,44,1,0
1,2,mujer,8,0,2
0,2,hombre,19,0,0
0,2,hombre,33,0,0
0,2,hombre,29,0,0
0,3,hombre,22,0,0
0,3,hombre,30,0,0
0,1,hombre,44,2,0
0,3,mujer,25,0,0
1,2,mujer,24,0,2
1,1,hombre,37,1,1
0,2,hombre,54,1,0
0,3,mujer,29,1,1
0,1,hombre,62,0,0
0,3,hombre,30,1,0
0,3,mujer,41,0,2
1,3,mujer,29,0,2
1,1,mujer,30,0,0
1,1,mujer,35,0,0
1,2,mujer,50,0,1
1,3,hombre,3,4,2
0,1,hombre,52,1,1
0,1,hombre,40,0,0
0,2,hombre,36,0,0
0,3,hombre,16,4,1
1,3,hombre,25,1,0
1,1,mujer,58,0,1
1,1,mujer,35,0,0
1,3,hombre,25,0,0
1,2,mujer,41,0,1
0,1,hombre,37,0,1
1,1,mujer,63,1,0
0,3,mujer,45,0,0
0,3,hombre,7,4,1
1,3,mujer,35,1,1
0,3,hombre,65,0,0
0,3,hombre,28,0,0
0,3,hombre,16,0,0
1,3,hombre,19,0,0
0,3,hombre,33,0,0
1,3,hombre,30,0,0
0,3,hombre,22,0,0
1,2,hombre,42,0,0
1,3,mujer,22,0,0
1,1,mujer,26,0,0
1,1,mujer,19,1,0
0,2,hombre,36,0,0
0,3,mujer,24,0,0
0,3,hombre,24,0,0
0,3,hombre,24,0,0
0,1,mujer,2,1,2
1,1,mujer,50,0,1
0,3,hombre,19,0,0
1,1,hombre,1,1,2
1,1,mujer,17,1,0
0,2,hombre,30,1,0
1,1,mujer,30,0,0
1,1,mujer,24,0,0
1,1,mujer,18,2,2
0,2,mujer,26,1,1
0,3,hombre,28,0,0
0,2,hombre,43,1,1
1,3,mujer,26,0,0
1,2,mujer,24,1,0
0,2,hombre,54,0,0
1,1,mujer,31,0,2
1,1,mujer,40,1,1
0,3,hombre,22,0,0
0,3,hombre,27,0,0
1,2,mujer,30,0,0
1,2,mujer,22,1,1
1,1,mujer,36,0,0
0,3,hombre,61,0,0
1,2,mujer,36,0,0
1,3,mujer,31,1,1
1,1,mujer,16,0,1
0,1,hombre,46,0,0
0,1,hombre,38,0,1
0,3,hombre,16,2,0
0,1,hombre,29,1,0
1,1,mujer,41,0,0
1,3,hombre,45,0,0
0,1,hombre,45,0,0
1,2,hombre,2,1,1
1,1,mujer,24,3,2
0,2,hombre,28,0,0
0,2,hombre,25,0,0
0,2,hombre,36,0,0
1,2,mujer,24,0,0
1,2,mujer,40,0,0
1,3,hombre,3,1,1
0,3,hombre,42,0,0
0,3,hombre,23,0,0
0,3,hombre,15,1,1
0,3,hombre,25,1,0
0,3,hombre,28,0,0
1,1,mujer,22,0,1
0,2,mujer,38,0,0
0,3,hombre,40,1,4
0,2,hombre,29,1,0
